behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
1,1002,1,2019/20,2020-06-19,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
2,1002,1,2019/20,2020-07-05,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
3,1003,1,2019/20,2020-03-30,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
4,1003,1,2019/20,2020-01-02,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Resolved,2020-01-16
5,1004,1,2019/20,2019-12-12,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
6,1004,1,2019/20,2019-10-22,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
7,1004,1,2019/20,2019-09-30,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
8,1005,1,2019/20,2019-11-22,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
9,1005,1,2019/20,2019-10-23,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
10,1007,1,2019/20,2020-07-12,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
11,1007,1,2019/20,2020-03-20,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
12,1007,1,2019/20,2019-11-13,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
13,1008,1,2019/20,2020-01-26,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2020-02-23
14,1009,1,2019/20,2019-12-11,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
15,1009,1,2019/20,2020-05-30,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
16,1009,1,2019/20,2019-12-29,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
17,1010,1,2019/20,2019-12-06,Attendance Issues,Truancy,Moderate,The student skipped school without any permission.,Resolved,2020-02-21
18,1010,1,2019/20,2020-04-28,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
19,1010,1,2019/20,2019-12-27,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
